county,city,children_0_3,children_3_5,children_6_11
Unknown County,Unknown City/Town,321,384,623
Unknown County,Unknown City/Town,283,410,686
Unknown County,Unknown City/Town,7217,7589,13501
Unknown County,Unknown City/Town,1337,1255,2734
Unknown County,Unknown City/Town,1036,1103,2066
Unknown County,Unknown City/Town,687,720,1311
Unknown County,Unknown City/Town,342,414,716
Unknown County,Unknown City/Town,3318,3969,6203
Unknown County,Unknown City/Town,5072,5879,9952
Unknown County,Unknown City/Town,813,920,1473
Unknown County,Unknown City/Town,8770,9605,15122
Unknown County,Unknown City/Town,2642,2623,4848
Unknown County,Unknown City/Town,8172,8358,14081
Unknown County,Unknown City/Town,2542,2716,5439
Unknown County,Unknown City/Town,1103,1321,2535
Unknown County,Unknown City/Town,1786,1976,3039
Unknown County,Unknown City/Town,1663,1826,2592
Unknown County,Unknown City/Town,694,861,1007
Unknown County,Unknown City/Town,1734,1756,3603
Unknown County,Unknown City/Town,5997,6331,10576
Unknown County,Unknown City/Town,23961,25056,42795
Unknown County,Unknown City/Town,1369,1343,2096
Unknown County,Unknown City/Town,4546,5315,8827
Unknown County,Unknown City/Town,1766,2426,3843
Unknown County,Unknown City/Town,1847,1875,3524
Unknown County,Unknown City/Town,1513,1789,2657
Unknown County,Unknown City/Town,3707,3777,6874
Unknown County,Unknown City/Town,460,554,803
Unknown County,Unknown City/Town,3252,3381,5584
Unknown County,Unknown City/Town,15753,15266,26085
Unknown County,Unknown City/Town,943,948,1813
Unknown County,Unknown City/Town,77,84,145
Unknown County,Unknown City/Town,504,525,888
Unknown County,Unknown City/Town,853,873,1769
Unknown County,Unknown City/Town,9612,11209,19811
Unknown County,Unknown City/Town,262,312,457
Unknown County,Unknown City/Town,47772,49330,86497
Unknown County,Unknown City/Town,917,1025,2312
Unknown County,Unknown City/Town,1489,1474,2933
Unknown County,Unknown City/Town,2120,2146,3794
Unknown County,Unknown City/Town,4607,5086,8148
Unknown County,Unknown City/Town,7839,8401,15807
Unknown County,Unknown City/Town,3609,3672,6867
Unknown County,Unknown City/Town,10494,11137,18447
Unknown County,Unknown City/Town,2782,3006,5150
Unknown County,Unknown City/Town,1456,1747,2788
Unknown County,Unknown City/Town,921,987,1930
Unknown County,Unknown City/Town,1320,1317,2578
Unknown County,Unknown City/Town,442,432,717
Unknown County,Unknown City/Town,17678,19586,31878
Unknown County,Unknown City/Town,855,1002,1675
Unknown County,Unknown City/Town,11089,10950,19003
Unknown County,Unknown City/Town,3919,4051,6922
Unknown County,Unknown City/Town,2132,2539,4143
Unknown County,Unknown City/Town,3576,4025,6796
Unknown County,Unknown City/Town,2675,2929,5180
Unknown County,Unknown City/Town,17977,17868,32777
Unknown County,Unknown City/Town,115077,111384,188650
Unknown County,Unknown City/Town,2020,2322,3430
Unknown County,Unknown City/Town,1005,971,2220
Unknown County,Unknown City/Town,4395,4871,8370
Unknown County,Unknown City/Town,1284,1456,2272
Unknown County,Unknown City/Town,1604,1600,3162
Unknown County,Unknown City/Town,562,647,1099
Unknown County,Unknown City/Town,2705,2600,4646
Unknown County,Unknown City/Town,16136,15734,25545
Unknown County,Unknown City/Town,1198,1092,1854
Unknown County,Unknown City/Town,8938,9424,15730
Unknown County,Unknown City/Town,43561,44553,69624
Unknown County,Unknown City/Town,4296,4604,9274
Unknown County,Unknown City/Town,5315,5517,9907
Unknown County,Unknown City/Town,402,433,855
Unknown County,Unknown City/Town,3101,3268,5522
Unknown County,Unknown City/Town,1030,1079,2073
Unknown County,Unknown City/Town,950,915,1581
Unknown County,Unknown City/Town,331,323,703
Unknown County,Unknown City/Town,67888,68943,126176
Unknown County,Unknown City/Town,145,172,365
Unknown County,Unknown City/Town,1293,1477,2391
Unknown County,Unknown City/Town,490,456,1064
Unknown County,Unknown City/Town,8035,8380,16822
Unknown County,Unknown City/Town,320,356,686
Unknown County,Unknown City/Town,4622,4794,8166
